# shftout.txt
#
# 4/30/2017
#
# Simple ALU testbench stimulus and expected response.
#
# File data format = (data, distance, direction, expected)
#
3	0	0	3
-6	1	0	4
-4	2	0	0
2	3	0	0
6	0	0	6
-4	1	0	8
-5	2	0	12
-5	3	0	8
-1	0	0	15
6	1	0	12
-3	2	0	4
-3	3	0	8
-7	0	0	9
4	1	0	8
-7	2	0	4
3	3	0	8
2	0	0	2
-6	1	0	4
4	2	0	0
-2	3	0	0
-2	0	0	14
1	1	0	2
-6	2	0	8
-5	3	0	8
-1	0	0	15
-1	1	0	14
-2	2	0	8
3	3	0	8
0	0	0	0
-3	1	0	10
-6	2	0	8
-2	3	0	0
3	0	0	3
-5	1	0	6
1	2	0	4
-1	3	0	8
-6	0	0	10
-4	1	0	8
2	2	0	8
1	3	0	8
0	0	0	0
-2	1	0	12
-6	2	0	8
-5	3	0	8
-5	0	0	11
6	1	0	12
-2	2	0	8
-7	3	0	8
0	0	0	0
5	1	0	10
-6	2	0	8
6	3	0	0
-1	0	0	15
4	1	0	8
4	2	0	0
-4	3	0	0
0	0	0	0
-2	1	0	12
-4	2	0	0
5	3	0	8
-7	0	0	9
-3	1	0	10
-3	2	0	4
4	3	0	0
-5	0	0	11
-7	1	0	2
2	2	0	8
-6	3	0	0
-4	0	0	12
5	1	0	10
3	2	0	12
-8	3	0	0
-3	0	0	13
1	1	0	2
2	2	0	8
-3	3	0	8
-2	0	0	14
-2	1	0	12
-5	2	0	12
0	3	0	0
1	0	0	1
0	1	0	0
1	2	0	4
-4	3	0	0
-2	0	0	14
-3	1	0	10
-7	2	0	4
3	3	0	8
3	0	0	3
5	1	0	10
1	2	0	4
1	3	0	8
3	0	0	3
5	1	0	10
-6	2	0	8
5	3	0	8
0	0	0	0
4	1	0	8
1	2	0	4
3	3	0	8
3	0	1	3
-6	1	1	13
-4	2	1	15
2	3	1	0
6	0	1	6
-4	1	1	14
-5	2	1	14
-5	3	1	15
-1	0	1	15
6	1	1	3
-3	2	1	15
-3	3	1	15
-7	0	1	9
4	1	1	2
-7	2	1	14
3	3	1	0
2	0	1	2
-6	1	1	13
4	2	1	1
-2	3	1	15
-2	0	1	14
1	1	1	0
-6	2	1	14
-5	3	1	15
-1	0	1	15
-1	1	1	15
-2	2	1	15
3	3	1	0
0	0	1	0
-3	1	1	14
-6	2	1	14
-2	3	1	15
3	0	1	3
-5	1	1	13
1	2	1	0
-1	3	1	15
-6	0	1	10
-4	1	1	14
2	2	1	0
1	3	1	0
0	0	1	0
-2	1	1	15
-6	2	1	14
-5	3	1	15
-5	0	1	11
6	1	1	3
-2	2	1	15
-7	3	1	15
0	0	1	0
5	1	1	2
-6	2	1	14
6	3	1	0
-1	0	1	15
4	1	1	2
4	2	1	1
-4	3	1	15
0	0	1	0
-2	1	1	15
-4	2	1	15
5	3	1	0
-7	0	1	9
-3	1	1	14
-3	2	1	15
4	3	1	0
-5	0	1	11
-7	1	1	12
2	2	1	0
-6	3	1	15
-4	0	1	12
5	1	1	2
3	2	1	0
-8	3	1	15
-3	0	1	13
1	1	1	0
2	2	1	0
-3	3	1	15
-2	0	1	14
-2	1	1	15
-5	2	1	14
0	3	1	0
1	0	1	1
0	1	1	0
1	2	1	0
-4	3	1	15
-2	0	1	14
-3	1	1	14
-7	2	1	14
3	3	1	0
3	0	1	3
5	1	1	2
1	2	1	0
1	3	1	0
3	0	1	3
5	1	1	2
-6	2	1	14
5	3	1	0
0	0	1	0
4	1	1	2
1	2	1	0
3	3	1	0
