# compout.txt
#
# 4/30/2017
#
# Simple ALU testbench stimulus and expected response.
#
# File data format = (a, b, y)
#
3	-6	12
-4	2	112
6	-4	12
-5	-5	106
-1	6	112
-3	-3	106
-7	4	112
-7	3	112
2	-6	12
4	-2	12
-2	1	112
-6	-5	112
-1	-1	106
-2	3	112
0	-3	13
-6	-2	112
3	-5	12
1	-1	12
-6	-4	112
2	1	12
0	-2	13
-6	-5	112
-5	6	112
-2	-7	76
0	5	49
-6	6	112
-1	4	112
4	-4	12
0	-2	13
-4	5	112
-7	-3	112
-3	4	112
-5	-7	76
2	-6	12
-4	5	112
3	-8	12
-3	1	112
2	-3	12
-2	-2	106
-5	0	112
1	0	12
1	-4	12
-2	-3	76
-7	3	112
3	5	48
1	1	42
3	5	48
-6	5	112
0	4	49
1	3	48
-5	-3	112
-4	-5	76
1	-8	12
4	3	12
0	-2	13
3	-3	12
6	-1	12
-8	1	112
-6	-5	112
4	4	42
-7	-8	76
3	-2	12
-3	-6	76
-8	-4	112
3	-1	12
-3	2	112
-2	-4	76
-7	2	112
4	3	12
-1	4	112
-1	-6	76
-5	-5	106
-3	6	112
-4	0	112
3	-5	12
-6	-7	76
3	2	12
-5	0	112
-8	3	112
4	-3	12
2	6	48
1	-6	12
0	-5	13
2	-2	12
-6	-3	112
-7	3	112
6	2	12
-2	-2	106
-5	1	112
-5	-4	112
-7	1	112
0	-4	13
-5	0	112
-8	0	112
-1	-6	76
0	5	49
-5	5	112
-6	-2	112
-8	-6	112
5	-4	12
